Remittance inflows (US$ million),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023e,% of GDP in 2023
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,140.69516629999998,378.2066570180999,179.1165613764,219.4160874814624,347.1652918141468,253.3678216033428,348.6247173026476,627.7108023773859,822.7316302455583,803.5464537865573,828.5719041111796,788.9171152452299,320.0,370.0,300.0,2.007897731075564
Albania,597.8,699.3,733.5699999999999,888.748582309638,1160.6721050195456,1289.7043159261334,1359.46732466364,1468.02,1865.6000000000001,1717.6980121651357,1586.5742713564164,1552.0785143403584,1419.7725154302648,1281.8481137530773,1421.0074543659491,1290.8635080940198,1306.0091669250385,1311.8224321379964,1458.2100558531142,1472.8122416103738,1465.9872124909666,1718.3559183217922,1745.2451357665093,1970.0,8.553317124001389
Algeria,0.0,0.0,0.0,0.0,0.0,169.99999999999272,189.00000000000816,99.00456334764347,103.63188721222971,150.3369614945351,196.60000000000002,202.86981618834116,214.8412686354578,209.6014434446368,2452.4426170725615,1997.3934583539626,1989.0235971229508,1791.8870732862547,1984.9983991317279,1785.838683222985,1699.6089346251986,1792.158957014779,1658.975809673424,1770.0,0.7901785714285714
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,47.416323738830535,53.001417773052474,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.084,0.2,17.972037,0.20475110000000002,40.348853989480084,36.63741134016822,30.97111927077802,11.1147116,3.9880483800000004,1.41819584,1.5792471499999998,3.445473467593008,8.05305089441933,12.6311493197743,14.00549147631333,14.688757854450236,0.015659656561247584
Antigua and Barbuda,17.342962962962964,23.676666666666666,14.242166666666666,16.372237037037035,17.601625925925923,18.30548888888889,19.32572037037037,20.783287037037034,21.82840259259259,20.658718888888888,20.197666666666667,20.29261,20.85622,21.127350740740738,32.1,31.24441226323777,26.705675645720802,24.02004434905414,32.76826532349858,36.87528210868377,36.22049098345022,45.26585039935317,47.1833982831926,49.448219299316406,2.537107198528292
Argentina,86.34365858988221,189.6,206.63,273.42,311.78,432.09,540.7,606.4989265171863,705.1444033583634,628.542376088907,644.3007400571922,697.3795751299164,577.5329621007733,535.0044093672885,505.34689173035713,494.4335321399667,391.5790476635139,479.93745980843084,522.4415030085651,561.3984447197575,648.0900500218147,901.1231830179325,1267.4490712534644,1600.0,0.2572347266881029
Armenia,182.16,209.24,263.89,335.86,787.519510008093,915.2311617809423,1169.1730625998412,1644.375090622168,1904.0671226007948,1439.8092316840598,1669.3368191136528,1798.6246922617302,1914.9839966162663,2192.19382694676,2078.618314800884,1491.475903470468,1382.3308865982758,1538.65575177642,1487.814907952822,1527.9374568727762,1327.006085340228,1556.8225439487724,2034.814437276094,1850.0,7.538712306438468
Aruba,1.0837988826815643,1.335195530726257,1.3296089385474863,0.2737430167597765,1.458100558659218,0.8198460962732412,1.0361660024632287,5.195530726256983,6.759776536312849,9.050279329608937,4.972067039106145,5.307262569832401,4.860335195530727,58.14674230528027,58.6279950761846,53.640100518224415,52.7,56.14048504732259,36.92029544809796,34.264018270971974,34.984040417256566,35.84563716051119,38.279493453956476,34.44985784127358,0.9001791962705403
Australia,518.3340528708127,486.7446858239225,465.7225339779335,651.572145062106,824.729101175224,940.4077666410773,1014.8414908741735,1341.851616348352,1526.0251473274984,1334.64895260383,1864.472761351687,2449.2875690519068,2405.3168666411775,2442.4500251786517,2329.6566769602314,2174.651380404773,2056.844753410693,2001.9284532472907,1867.930551388161,1762.6455948096495,1196.628175967295,936.4230631670166,1297.8394809535432,1656.2392578125,0.0980023229474852
Austria,0.0,0.0,0.0,0.0,0.0,2313.507128007756,2517.2000000000003,2915.6221516159785,3189.8087426273923,3101.681748755873,2983.4884455988363,3250.804925703443,3028.1886989857144,3261.5056839693007,3239.901778634926,2863.606817405199,2887.576591281874,2956.9342458241636,3022.591419432235,2996.0586798971513,3031.3369285060635,3223.7018928571424,2935.48788116884,3000.0,0.5703422053231939
Azerbaijan,57.132,104.125,163.317,155.95700000000002,203.578,623.235,790.2139999999999,1267.7350000000001,1518.327,1254.645,1410.296,1893.0800000000002,1990.18,1733.2,1846.424,1269.9640000000002,643.1479999999999,1133.371,1225.79,1275.168754822157,1403.087,1526.636,3950.029,2800.0,3.61794500723589
"Bahamas, The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.805711,53.0406,57.888,55.0,0.3963678293456328
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh ,1967.528858467927,2104.551469141763,2858.05777042652,3191.6647320559346,3583.817227523728,4314.5,5427.5154287338,6562.316321908495,8940.611606376919,10520.653005638856,10850.211617305626,12071.07318415758,14119.627033985384,13866.954019396753,14987.531478742734,15295.536094835123,13574.285886247324,13501.93303270963,15566.241930307808,18363.8595312812,21751.64647919351,22205.50337711999,21503.993718213896,23000.0,5.15695067264574
Barbados,113.2,129.95,125.061,130.5,129.108571515,94.4554238,87.34842295,138.674184035,101.160650815,114.47608954,81.86879619,147.2932661916,152.31984244233348,190.9816329798335,188.71696099383348,198.0382948344835,157.5090399835,85.1758925,85.1758925,85.1758925,85.1758925,85.1758925,85.1758925,85.1758925,1.3693873392282958
Belarus,114.19999999999999,67.19999999999999,80.6,164.10000000000002,239.39999999999998,198.6,268.2,288.29999999999995,583.3,503.79999999999995,575.3,890.6,1053.1,1213.5,1231.3,931.5,976.5999999999999,1253.8,1445.8,1418.8,1013.6999999999999,1149.96067408,1465.139529,1550.0,2.2508131970260226
Belgium,0.0,0.0,4534.638939109968,5778.136096270974,6562.530149386719,6884.305723770453,7268.884910039385,8991.846090584593,10479.0,11090.651436729006,10993.669270274135,11728.548904613026,11171.452382413087,11695.085497992883,12161.003266042055,10464.912315381158,10786.36068227289,11435.497317078998,12448.56909107144,12330.095211525831,12850.49977262427,13708.875824170267,13437.737945630453,13185.2734375,2.0995658339968153
Belize,24.868381,28.397885212474147,26.836163721113202,32.15107973139145,33.650128540845145,44.69332284460195,63.81195078706254,73.1192631866794,76.4890033131695,78.5784016029387,78.1345695922123,75.4,75.94564668826251,74.40171037020467,80.33441762386191,84.74407453778171,96.67100668130635,90.21451629712242,92.51273878403455,96.81675011848655,120.68361941789641,135.359896997178,142.41685272081,151.02796936035156,4.693224653833174
Benin,85.87625311522767,83.06416112425872,76.10781801963552,55.40117708756022,63.11701027017162,146.93934793307628,195.67378614039177,240.7937333936339,207.86320938934466,126.45722233888812,139.56912048605167,172.10000000000002,207.76355518599638,248.80053368245632,304.659173440494,214.44957945289048,221.726214973562,195.77683387076587,198.7423960147997,216.99314518350224,204.62391654563245,230.91433308778034,230.70559091425332,233.24964904785156,1.1697575177926358
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.9330393767019642,3.5489308048492245,4.8667011684504615,8.273480864605165,10.46053400472438,18.144730430834205,11.804283706037378,14.292342890486355,19.65650791921583,34.343456661168055,43.153828425576755,58.14851579928046,56.658762938509085,83.43518258666549,73.36726839470805,88.0846800334456,75.0,2.7922561429635144
Bolivia,126.86999999999999,135.28,112.9,158.1664132967934,210.55866851646522,337.040056699114,602.9740707159999,1055.3665817028,1134.7184469387971,1057.93,960.2127467855058,1042.996646641821,1110.5321469818832,1201.3394785981843,1177.0,1190.9581939626623,1246.634759355898,1407.9969888642627,1388.281653939412,1335.6201969298725,1126.51792043532,1417.1003831991786,1458.776647502851,1473.3644139778794,3.148483660949396
Bosnia and Herzegovina,1580.9525108178677,1500.0168567762603,1495.729518771711,1738.0963260741369,2053.201662459076,2037.7319482359644,2148.9408340253885,2686.5,2717.6638742299274,2127.0330594989455,1822.3048470247143,1958.2301996297401,1845.7153767000977,1957.987470182707,2107.1397245689286,1801.1119579124793,1845.9950971247627,2016.8726949404406,2262.8769544990664,2332.5705514135925,1931.0397490550647,2477.9484998138405,2581.2621390297663,2850.0,10.577101503061792
Botswana,18.54087010774675,17.907699661798688,19.073397096143328,27.309313758502235,78.65639313993543,117.74450578980799,103.85900663773732,92.19151815089243,46.82319633501298,15.209029185977924,22.299999999999997,20.409878288814536,18.103143924275216,36.00433594328257,46.123119083999924,30.04561957219667,24.622501683518053,38.95656146823339,44.309897402630675,59.360104140776755,44.222901887861134,60.58360967402577,68.48058539209407,60.15503663159048,0.2898199876257009
Brazil,1349.5910000000001,1448.914,2003.7910000000002,2286.6800000000003,2812.5139999999997,2805.358,3287.162,3305.694,3642.585,2889.1595,3082.8,3214.6022429399995,2784.07205549,2717.6750686600003,2647.90851304,2896.9099517100003,2739.78652659,2698.77065124,2933.48927649,3213.6216767100004,3566.2194384800005,4102.0181477,4973.75873457,4400.0,0.20657276995305163
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8699960453712344,0.8929854012251924,0.8702233101978405,2.0,0.013198706526760376
Bulgaria,58.235451353603196,826.2003095594503,1176.951496861564,1718.485429279404,1722.7695846343358,1612.9124270058353,1716.4359805661818,1693.553171138854,1918.650334468944,1591.794627636778,1332.9,1483.19,1448.8799999999999,1666.96,1684.74,1494.74,1665.5700000000002,2193.59,2408.23,2342.37,2059.5,1977.52,2033.32,2500.0,2.4271844660194173
Burkina Faso,0.0,0.0,0.0,0.0,0.0,56.66481959595562,67.99628178102412,84.43617413468087,99.74214320045947,96.37387586238506,120.46218913739811,221.1,209.98074438675567,308.46952020676247,396.3080407321039,384.9856164495157,397.37389254227145,416.8392431015345,455.6500922336393,467.25184173270054,524.6081048418857,570.9509685801047,570.9509685801047,578.9437255859375,2.785391992234484
Burundi,0.0,0.0,0.0,0.0,0.04178399491325279,0.1,0.011470971773182417,0.18994894054626585,3.6452166774784707,28.232147756254943,34.49892951307412,45.46317687049668,46.433649088890036,48.639473899970575,56.26259143200722,51.041087262853196,31.276058244760087,33.725358649667015,48.32863177946598,48.32863177946598,48.32863177946598,48.32863177946598,48.32863177946598,48.32863177946598,1.5150041310177422
Cabo Verde,89.76116615329518,80.95417113373395,85.02168168575378,108.44493556372316,113.42783259142014,136.69259859698695,136.57320835625092,138.79367626728478,155.0359907974355,135.6202810241666,130.90987453616486,176.87501961297428,177.0,175.91833541655896,196.9818645699108,200.90351781206007,211.37382922032012,216.55220196985698,234.50746696977905,215.0243895884148,234.13837578411122,314.50817396903335,313.3607999465522,316.7162170410156,12.190770478868963
Cambodia,102.6,112.8,123.0,128.2,147.4,163.7,183.7,185.8,187.918,142.2135,557.4,610.6497301538907,855.043136864211,1003.3264307854494,1103.123111716727,1185.4706329218793,1199.209465586629,1287.3157069299316,1431.3048271916703,2658.6035398148715,2587.757355279726,2538.8091477871476,2616.016585910477,2800.0,9.048896357819217
Cameroon,22.155059516186007,16.846311933448593,29.59551471101627,75.58405680346013,103.57493041541147,77.01916721799918,130.05870455461152,167.5602802395557,162.67038847558808,185.11209317252795,114.97101794274154,219.54228480170724,210.40772958619522,244.12855199110894,283.33756591588985,241.70699004708,269.0,316.8006714047309,333.5544983905577,355.550645811703,334.09728850464177,430.09711209777487,297.2515655544202,375.3211001992528,0.7618876622939644
Canada,554.5596083009927,611.1887193297283,635.3180603902763,672.2914768548561,827.6627927579145,933.6568533360427,1085.6919972125488,1177.4796216760135,1299.4121968769691,1196.4447244102362,1199.157750278882,1227.3449780462095,1254.6004899847612,1336.5386057077756,1351.3046892919126,1274.2553681274783,1289.324860091083,1268.1854803164379,1295.5672167540904,1311.782569260684,821.8324436654854,831.5026966624488,861.8342265782214,871.3892074099324,0.041103264500468514
Chile,13.3,11.9,12.4,0.0,0.0,0.0,0.0,0.0,0.0,51.938053677696495,62.3249231059028,70.91738189502111,72.03004074438259,71.1081449065198,60.612706416405004,58.992215838122895,64.5511126635094,66.541753587694,69.8568497873431,69.37277136180181,66.19747759113059,66.48497295806649,69.39267043421721,73.26007843017578,0.021296534427376678
China,758.082,1209.0,2353.0704215742,4625.33181,6641.2201787533995,23625.899319,27565.193759,38395.039993,47742.805394,41600.374919,52459.645879,61576.221918,57986.598422,59491.287194,62332.342308,63937.646592,60999.999488,63875.674112,67413.592064,68398.47511360464,59506.67334883603,53000.0,51000.0,49500.0,0.2796610169491526
Colombia,1610.1,2056.358872867054,2479.9425961402676,3076.0186465959832,3189.709843917939,3345.610321407965,3899.1599143425797,4460.194476645406,4826.851232375117,4124.862554305642,4030.8463256811388,4101.315891061109,4018.6746682006055,4449.831680492054,4165.731073418325,5001.596492340817,5191.956875238799,5818.773635080763,6675.079294041264,7115.322398740713,6924.52613555919,8608.268970885418,9448.990236930431,10160.0,2.791208791208791
Comoros,0.0,0.0,0.0,32.04244836190696,48.70500215656435,54.05572552724432,63.19751257726756,74.04548676488031,101.32544007369953,100.40753258456985,87.25208692093463,108.17389104457644,110.20351103063025,0.0,159.8174502680401,131.86600326206482,116.74552966713374,131.5983323444507,172.62020964537044,168.54682018313792,226.65575783916125,287.9907180657278,281.8391508376673,280.9191589355469,20.595246256271764
"Congo, Dem. Rep.",0.0,0.0,0.0,0.0,0.0,8.9,12.8,8.8,14.7,19.5,15.7,1127.5,855.8531745924402,1001.3582412865909,756.4103876421351,1166.56821832676,593.4802747848264,1076.294914623098,1822.7061757601814,2076.317927827424,1196.0480140729856,1347.879531243335,1347.879531243335,1361.14013671875,2.01614548038682
"Congo, Rep.",10.378649970689432,12.13002181977576,1.1820446384472765,12.415988888798179,14.980903170723572,11.379620362678105,13.207621661714,16.7,21.717486771712945,34.08935614300938,33.13700511872994,62.22617616181544,68.34505297817729,72.0571514560363,41.59330658480794,29.796433426657536,7.710018069123593,0.0,0.0,26.242892954918048,12.632343286695981,2.9448249031700855,2.9448249031700855,2.9448249031700855,0.02044023671250146
Costa Rica,136.0,198.4434131312532,250.64648638164203,320.879535,319.54635212,420.34641,513.156290876979,617.920087505542,604.768805,513.0918732530711,530.6887859999999,520.2196733109121,562.342745046091,596.399211049776,593.9253843787719,551.988507633386,545.423773110502,560.3666190967065,533.5096631366689,553.3779770611783,524.7867478480965,594.1306964499267,620.8364359573591,633.2531646765062,0.7398681676323241
Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,163.23875749922362,166.90988313886047,184.93682451327624,199.72140215665334,316.3463240110485,373.8419592253221,397.1,367.0861670107405,384.7786362227161,387.2143023138127,336.38206192234327,342.4350610961036,307.6451279121331,332.0467299618109,328.290412149646,329.1476362441635,440.1941746963372,440.1941746963372,445.86444091796875,0.5613300275940687
Croatia,1008.1,1132.777498285216,1331.304584622671,1565.7901624943406,1873.6036539131,1874.4688318176777,1926.1492137951846,2228.813115934657,2505.3076454293614,2268.8274345239006,2287.050682329733,2524.036566253195,2084.700260030801,2768.842045180204,2774.8203861405204,2676.9499823826104,3223.409432335683,3662.7714369316573,4014.006756501288,4280.379502493868,4186.029861891214,5026.283452140954,5392.391867302506,5698.723270573783,7.106969221891604
Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.1,135.96648044692736,133.0558659217877,143.30167597765364,142.37430167597765,148.41899441340783,160.15642458100558,155.3385707039106,176.3386243072626,132.28778944692738,141.59788725698326,156.39734986964618,116.15060915663815,4.302491967409574
Cyprus,44.986487585456565,77.85033348812023,20.660797834326942,31.813793738445803,77.39164426463583,104.81718133067247,104.5110950447782,142.1760081952923,948.6,593.4131536223546,861.7349435631976,740.5104578375859,601.1168745928115,430.99936255545686,323.088099019211,297.84819640083214,391.57403584509785,464.4577988058695,521.1920466163807,535.4606739145643,567.6430925163115,626.7718055168514,519.762787942633,600.0,1.873126873126873
Czech Republic,293.96505244224153,256.46066082120575,332.6646178298899,493.715526468209,1221.9,1340.5177640313448,1603.2472635994582,1827.0463146538737,1134.4436325227723,1196.0751954603998,1229.0638816270884,1394.3126326162096,1409.1301369355406,1737.884336691725,2628.2617382296567,2674.8280993128233,3126.3880800369025,3585.217056966093,3935.9906090368004,3859.9370904262287,4185.806688224556,4386.865792787086,4152.543466918551,4190.216683166042,1.2508109501988183
Denmark,666.510055905243,698.6232815302964,784.8592968296194,940.5723016745596,1075.3950761326073,666.1,740.2663887569818,823.2039591886152,1051.7046646436172,1019.0664919517906,925.4674621024935,1149.8859329697973,1182.2442398315327,1370.760789335187,1483.0218000094765,1258.2556625499105,1247.0147927381856,1314.4514482438756,1415.2970487907714,1451.438646961988,1331.7244416912388,1412.5530995655174,1247.336048770724,1094.23486328125,0.25991326918794533
Djibouti,12.288924775350127,11.945690154793187,14.956026580989304,24.667878303633223,24.74102666539126,25.84950568587843,28.471593115051117,28.640397026800432,30.328436144293587,32.466619026451575,32.6410497352592,32.35970988234367,33.265624208731666,39.787081999313536,37.87959779654627,39.71393363755549,40.23722576397837,41.3231975962323,59.857867106307076,79.46162805746084,64.05545771180671,79.43349407216931,54.68164825439453,57.95040160083106,1.4962665014415455
Dominica,13.522222222222222,14.342592592592592,14.457759259259259,14.804814814814813,20.03114074074074,21.772344444444443,22.075033333333334,22.482585185185183,22.686333333333334,22.138522222222218,22.889296296296298,22.87014,23.24889851851852,23.55113407407407,50.5,55.92820398447578,44.03372366543874,44.35132107677777,42.14141837154777,47.50608249798111,58.5299435062074,65.07368123948073,60.86143824353114,59.158267974853516,8.487556380897205
Dominican Republic,1838.8,1981.8000000000002,2194.2999999999997,2325.4,2501.2,2719.2000000000003,3053.8,3397.0,3605.5,3414.7,3887.0,4240.7,4262.1,4485.5,4810.4,5196.200000000001,5508.400000000001,6177.8,6817.7,7420.6,8331.6,10742.8,10278.1,10500.0,8.677685950413224
Ecuador,1322.301,1420.558146516312,1438.022869282196,1633.427047615,1838.041770903952,2460.0,2933.8088114285715,3341.3378133961905,3088.63312931,2742.43621102,2599.02703868,2680.596336985672,2476.225961805425,2458.803089220696,2472.44938928992,2387.55589200259,2612.1,2849.068577173125,3039.0785088801936,3242.684316953077,3343.6961635299317,4367.441780588136,4747.980446388516,5148.44921875,4.326427914915967
"Egypt, Arab Rep.",2852.0,2911.4,2893.1,2960.9,3340.7,5017.3,5329.5,7655.8,8694.0,7149.6,12453.1,14324.3,19236.4,17833.1,19570.4,18325.4,18590.4,24737.4,25515.7,26781.4,29602.9,31487.0,28332.8,24200.0,6.080402010050251
El Salvador,1764.2,1924.3,1952.6000000000001,2121.3,2563.0,3028.6000000000004,3482.7000000000003,3709.05,3754.75,3402.34,3471.83671903,3643.9492460514734,3914.048534333223,3966.47854783584,4160.378001283006,4274.620676029546,4561.580070953144,4996.353544718159,5391.738701989458,5656.754219242,5931.31288860975,7476.058041287666,7692.816875171771,8142.0,23.039701179999433
Estonia,4.052634247421137,11.02069807822904,19.14898040544515,42.0,154.97934813131303,254.60979500136636,392.1388009366254,381.2827572484455,416.3292383763164,340.0513235246271,357.08404416565554,438.65059766998485,460.6755916392873,564.7964693698217,543.9235816511024,457.28265245569617,486.48263842394397,505.09128378608125,570.4044768833152,541.9152437628184,506.8469486161488,589.9003309840547,470.07263983133276,470.0671366676494,1.1245894319664331
Eswatini,56.79607348596762,52.71709455129153,44.13093443095732,65.2252955291864,82.79758053498676,95.42186976245138,95.65506859028683,95.12218316581185,89.63736605595543,93.45776261989944,54.69032384546754,63.5,88.54567984065535,75.12041321162052,95.82445754996988,95.77140233739917,98.42104399320314,144.41539356301146,125.73732212868364,118.70208180913475,112.4953804324686,132.16822463549124,126.48260527569127,120.42802429199219,2.590964378054909
Ethiopia,53.15888237897322,18.31371817094932,32.986894422365694,46.47019246490139,133.74280623581402,173.51940568387914,172.1533139617547,357.8382249897524,386.69626584283697,261.6019514955375,436.14387630500414,538.3398946721045,624.3606698982318,833.03131703511,1796.3777867329459,1086.9867512465355,772.2359465950187,393.3791700034507,436.3254630907813,479.6241652646044,404.0883198912432,447.64708405272836,510.20121539532005,591.9537353515625,0.379457522661258
Fiji,43.30133310930515,77.58487231159816,99.40191941412463,123.67844064754311,172.64520991326413,203.29999999999998,204.57973618473557,183.21247867885788,146.67733987413212,171.05720950971997,175.6311330687888,160.55665446129225,190.60785830126838,203.57006885891676,220.96773441727802,252.3574999767819,272.3625814157208,278.7379641410944,290.06156517025016,286.5678121226235,317.15561585627864,393.6351988434529,458.8274022879663,500.0,9.072763563781528
Finland,472.7284151845379,490.7180396706617,477.15254736738075,526.3819392564815,666.9138667936505,692.3,714.7988891637351,805.9500149632679,959.1889120401886,865.768666007242,893.815226240978,756.0663203449628,862.1229796321294,1073.207238903872,1068.5296891222858,865.4198807089756,860.9645174730907,908.3031159411518,841.0533464652016,841.9617793289942,598.1306609905619,667.3552991341984,594.1480717938331,600.0,0.19607843137254902
France,8869.551606788604,9194.240138207766,10599.319442280834,12231.755970685032,13342.61413762633,14205.076472607723,15535.237652181057,17586.416269286423,20085.696122606478,19665.37019378969,19898.258274131123,22942.280254420184,22666.366758942182,24412.28215306871,25358.374728240142,24066.98983709343,24042.348847356203,24884.54785586625,26229.274711196893,30024.725081068365,28752.097584249575,32831.82860782104,33927.902318535,34000.0,1.1147540983606559
Gabon,6.050763423885009,5.3639746917477025,2.846533111635563,5.989329181287312,6.852364361493555,11.028154171889966,0.0,14.409511050850195,20.654067555365682,13.846230032531393,38.428998663362975,21.792198449752753,22.586458562340066,16.527000609492294,29.467150852898904,18.458042253041338,18.458042253041338,18.458042253041338,18.458042253041338,18.458042253041338,18.458042253041338,18.458042253041338,18.458042253041338,18.458042253041338,0.09554346629246513
"Gambia, The",0.0,0.0,0.0,54.06983927439084,60.748749170970285,59.30408754372935,63.77351734188231,55.662540369808276,64.8115589717228,79.8011531264916,115.69906099702122,91.35895377459771,106.34945309241876,109.8292219546199,137.77120940502178,154.0,145.67879470127195,160.16734528004727,212.03473609745973,275.8251074550239,416.41888066787203,547.0514238019668,547.0514238019668,627.5245531781478,26.278247620525452
